Trial;Year;T_mean;Rainfall;PET;Comments
TRIAL_1;2000;11.65;620;739.9;
TRIAL_1;2001;10.92;608;800.8;
TRIAL_1;2002;11.24;807;750.7;
TRIAL_1;2003;11.49;368.2;894.2;
TRIAL_1;2004;10.76;636.2;853.7;
TRIAL_1;2005;10.76;480.2;819.6;
TRIAL_1;2006;11.16;649.1;840;
TRIAL_1;2007;11.49;513.2;791.9;
TRIAL_1;2008;10.86;599.5;723.5;
TRIAL_1;2009;11.15;467;794.4;
TRIAL_1;2010;9.93;506;731.9;
TRIAL_1;2011;11.61;479;787;
TRIAL_1;2012;11.08;611;795.9;
TRIAL_1;2013;11.23;549.5;733.3;
TRIAL_1;2014;12.11;608;764.6;
TRIAL_1;2015;11.97;453.5;816.5;
TRIAL_1;2016;11.06;641;734.6;
TRIAL_1;2017;11.56;462;816.8;
TRIAL_1;2018;12.32;576.5;841.5;
