EOM_name;EOM_name_FR;C_conc_EOM;h_EOM;Source
Beet vinasse (concentrated);Vinasse concentrée;175;0.3;https://doi.org/10.1111/sum.12856
Biowaste digestate;Digestat de biodéchets;18;0.65;https://doi.org/10.1111/sum.12856
Bovine manure;Fumier de bovin;83;0.64;https://doi.org/10.1111/sum.12856
Bovine slurry;Lisier de bovin;30;0.45;https://doi.org/10.1111/sum.12856
Chicken dropping (dried);Fiente de poule déshydratée;238;0.41;https://doi.org/10.1111/sum.12856
Chicken dropping (raw);Fiente de poule brute;85;0.16;https://doi.org/10.1111/sum.12856
Compost of bovine manure;Compost de fumier de bovin;105;0.71;https://doi.org/10.1111/sum.12856
Compost of pig manure;Compost de fumier de porc;146;0.63;https://doi.org/10.1111/sum.12856
Digestate of agricultural residues;Digestat de résidus agricoles;35;0.66;https://doi.org/10.1111/sum.12856
Digestate of cover crops (liquid);Digestat liquide de couvert végétal;16;0.53;https://doi.org/10.1111/sum.12856
Digestate of cover crops (raw);Digestat brut de couvert végétal;21;0.48;https://doi.org/10.1111/sum.12856
Digestate of cover crops (solid);Digestat solide de couvert végétal;113;0.56;https://doi.org/10.1111/sum.12856
Duck dropping;Fiente de canard;50;0.16;https://doi.org/10.1111/sum.12856
Goat manure;Fumier de caprins;180;0.64;https://doi.org/10.1111/sum.12856
Green waste and biowaste compost;Compost de déchets verts et biodéchets;147;0.77;https://doi.org/10.1111/sum.12856
Green waste and sewage sludge compost;Compost de déchets verts et boues;124;0.79;https://doi.org/10.1111/sum.12856
Green waste compost;Compost de déchets verts;120;0.82;https://doi.org/10.1111/sum.12856
Horse manure;Fumier de cheval;176;0.49;https://doi.org/10.1111/sum.12856
Municipal solid waste compost;Compost d'ordures ménagères;111;0.53;https://doi.org/10.1111/sum.12856
Paper mill sludge (dewatered);Boue de papeterie déshydratée;70;0.54;https://doi.org/10.1111/sum.12856
Pig manure;Fumier de porc;146;0.61;https://doi.org/10.1111/sum.12856
Pig slurry;Lisier de porc;17;0.55;https://doi.org/10.1111/sum.12856
Pig slurry (dried);Lisier de porc déshydraté;357;0.52;https://doi.org/10.1111/sum.12856
Poultry manure;Fumier de volaille;223;0.47;https://doi.org/10.1111/sum.12856
Sheep manure;Fumier d'ovin;120;0.64;https://doi.org/10.1111/sum.12856
Solid phase of pig slurry;Lisier de porc (phase solide);126;0.63;https://doi.org/10.1111/sum.12856
Urban sludge (dewatered);Boue urbaine déshydratée non chaulée;50;0.46;https://doi.org/10.1111/sum.12856
Urban sludge (dewatered and limed);Boue urbaine déshydratée chaulée;55;0.46;https://doi.org/10.1111/sum.12856
Urban sludge (raw);Boue urbaine liquide;9;0.46;https://doi.org/10.1111/sum.12856
