Crop_type;Crop_name;Crop_name_FR;Plant_group;RP;RS;RR;RE;Beta;HI;SR;PSS;h_AG;h_BG;C_conc_AG;C_conc_BG;Source
MC;Alfalfa;Luzerne;C3;0.507;0.056;0.265;0.172;0.966;0.9;1.937;1;0.276;0.4;0.44;0.4;Solebiom project
MC;Bare soil;Sol nu;C3;1;1;1;1;1;0.5;1;1;1;0.4;0.44;0.4;Solebiom project
MC;Belgian endive;Endive;C3;0.795;0.159;0.028;0.018;0.926;0.833;31.35;1;0.315;0.4;0.44;0.4;Solebiom project
MC;Broccoli;Chou brocoli;C3;0.431;0.431;0.084;0.054;0.926;0.5;9.35;1;0.344;0.4;0.44;0.4;Solebiom project
MC;Brown mustard;Moutarde brune graine;C3;0.142;0.625;0.141;0.092;0.929;0.186;4.95;0.2;0.227;0.4;0.44;0.4;Solebiom project
MC;Brussels sprout;Chou de Bruxelles;C3;0.431;0.431;0.084;0.054;0.926;0.5;9.35;1;0.344;0.4;0.44;0.4;Solebiom project
MC;Buckwheat;Sarrasin;C3;0.34;0.493;0.101;0.066;0.948;0.408;7.517;0.5;0.233;0.4;0.44;0.4;Solebiom project
MC;Cabbage;Chou pomme;C3;0.718;0.144;0.084;0.054;0.926;0.833;9.35;1;0.344;0.4;0.44;0.4;Solebiom project
MC;Camelina;Cameline;C3;0.151;0.472;0.229;0.149;0.929;0.242;2.475;0.2;0.227;0.4;0.44;0.4;Solebiom project
MC;Cauliflower;Chou-fleur;C3;0.718;0.144;0.084;0.054;0.926;0.833;9.35;1;0.344;0.4;0.44;0.4;Solebiom project
MC;Chickpea;Pois chiche;C3;0.327;0.315;0.217;0.141;0.961;0.51;2.692;0.4;0.276;0.4;0.44;0.4;Solebiom project
MC;Chicory;Chicorée;C3;0.742;0.212;0.028;0.018;0.926;0.778;31.35;1;0.315;0.4;0.44;0.4;Solebiom project
MC;Collard greens;Chou fourrager;C3;0.718;0.144;0.084;0.054;0.926;0.833;9.35;1;0.344;0.4;0.44;0.4;Solebiom project
MC;Durum wheat;Blé dur;C3;0.368;0.466;0.101;0.066;0.96;0.441;7.517;0.5;0.217;0.4;0.44;0.4;Solebiom project
MC;English ryegrass;Ray-grass anglais;C3;0.519;0.104;0.229;0.149;0.946;0.833;2.475;1;0.217;0.4;0.44;0.4;Solebiom project
MC;Faba bean;Féverole;C3;0.387;0.342;0.164;0.107;0.955;0.531;4.04;0.4;0.276;0.4;0.44;0.4;Solebiom project
MC;Fiber flax;Lin fibre;C3;0.776;0.086;0.084;0.054;0.929;0.9;9.35;1;0.27;0.4;0.44;0.4;Solebiom project
MC;Fiber hemp;Chanvre fibre;C3;0.598;0.188;0.129;0.084;0.983;0.761;5.524;1;0.216;0.4;0.44;0.4;Solebiom project
MC;Field Pea;Pois protéagineux;C3;0.476;0.358;0.101;0.066;0.963;0.571;7.517;0.4;0.276;0.4;0.44;0.4;Solebiom project
MC;Flageolet bean;Haricot flageolet;C3;0.355;0.507;0.084;0.054;0.954;0.412;9.35;0.1;0.34;0.4;0.44;0.4;Solebiom project
MC;Fodder beet;Betterave fourragère;C3;0.742;0.212;0.028;0.018;0.926;0.778;31.35;0.09;0.315;0.4;0.44;0.4;Solebiom project
MC;Garden carrot;Carotte légumière;C3;0.835;0.119;0.028;0.018;0.926;0.875;31.35;1;0.371;0.4;0.44;0.4;Solebiom project
MC;Grain maize;Maïs grain;C4;0.394;0.411;0.118;0.077;0.952;0.49;6.207;0.5;0.233;0.4;0.44;0.4;Solebiom project
MC;Grass-Legume mixture;Mélange Graminées-Légumineuses;C3;0.75;0.083;0.101;0.066;0.948;0.9;7.517;1;0.276;0.4;0.44;0.4;Solebiom project
